Ciudad,Estado,2020
Barrington,RI,623
Bristol,RI,959
Burrillville,RI,555
Central Falls,RI,"14,752"
Charlestown,RI,152
Coventry,RI,"1,229"
Cranston,RI,"15,067"
Cumberland,RI,"2,692"
East Greenwich,RI,595
East Providence,RI,"3,328"
Exeter,RI,188
Foster,RI,91
Glocester,RI,275
Hopkinton,RI,214
Jamestown,RI,126
Johnston,RI,"3,844"
Lincoln,RI,"1,502"
Little Compton,RI,65
Middletown,RI,"1,353"
Narragansett,RI,298
New Shoreham,RI,66
Newport,RI,"2,975"
North Kingstown,RI,"1,012"
North Providence,RI,"4,933"
North Smithfield,RI,534
Pawtucket,RI,"18,727"
Portsmouth,RI,648
Providence,RI,"83,815"
Richmond,RI,168
Scituate,RI,297
Smithfield,RI,825
South Kingstown,RI,"1,403"
Tiverton,RI,425
Warren,RI,361
Warwick,RI,"5,019"
West Greenwich,RI,148
West Warwick,RI,"2,674"
Westerly,RI,"1,077"
Woonsocket,RI,"9,086"
Todas las ciudades,RI,"182,101"
Barnstable County,MA,"  7,908 "
Berkshire County,MA,"  7,064 "
Bristol County,MA,"  54,751 "
Dukes County,MA,  534 
Essex County,MA,"  182,847 "
Franklin County,MA,"  3,592 "
Hampden County,MA,"  121,319 "
Hampshire County,MA,"  11,622 "
Middlesex County,MA,"  143,245 "
Nantucket County,MA,"  2,312 "
Norfolk County,MA,"  38,110 "
Plymouth County,MA,"  23,952 "
Suffolk County,MA,"  178,527 "
Worcester County,MA,"  111,902 "
Abington,MA,  660 
Acton,MA,  920 
Acushnet,MA,  256 
Adams,MA,  226 
Agawam,MA,"  1,827 "
Alford,MA,  21 
Amesbury,MA,  675 
Amherst,MA,"  3,807 "
Andover,MA,"  2,029 "
Aquinnah,MA,  25 
Arlington,MA,"  2,137 "
Ashburnham,MA,  193 
Ashby,MA,  123 
Ashfield,MA,  42 
Ashland,MA,"  1,157 "
Athol,MA,  665 
Attleboro,MA,"  4,140 "
Auburn,MA,  891 
Avon,MA,  311 
Ayer,MA,  581 
Barnstable,MA,"  2,626 "
Barre,MA,  190 
Becket,MA,  63 
Bedford,MA,  516 
Belchertown,MA,  656 
Bellingham,MA,  753 
Belmont,MA,"  1,273 "
Berkley,MA,  144 
Berlin,MA,  127 
Bernardston,MA,  28 
Beverly,MA,"  2,697 "
Billerica,MA,"  1,782 "
Blackstone,MA,  371 
Blandford,MA,  29 
Bolton,MA,  149 
Boston,MA,"  126,113 "
Bourne,MA,  505 
Boxborough,MA,  218 
Boxford,MA,  273 
Boylston,MA,  148 
Braintree,MA,"  1,860 "
Brewster,MA,  306 
Bridgewater,MA,"  1,267 "
Brimfield,MA,  118 
Brockton,MA,"  12,762 "
Brookfield,MA,  122 
Brookline,MA,"  4,272 "
Buckland,MA,  44 
Burlington,MA,"  1,033 "
Cambridge,MA,"  10,738 "
Canton,MA,"  1,077 "
Carlisle,MA,  166 
Carver,MA,  233 
Charlemont,MA,  36 
Charlton,MA,  539 
Chatham,MA,  208 
Chelmsford,MA,"  1,509 "
Chelsea,MA,"  26,826 "
Cheshire,MA,  79 
Chester,MA,  51 
Chesterfield,MA,  33 
Chicopee,MA,"  13,027 "
Chilmark,MA,  20 
Clarksburg,MA,  19 
Clinton,MA,"  2,596 "
Cohasset,MA,  191 
Colrain,MA,  44 
Concord,MA,  861 
Conway,MA,  34 
Cummington,MA,  16 
Dalton,MA,  161 
Danvers,MA,"  1,245 "
Dartmouth,MA,"  1,360 "
Dedham,MA,"  2,125 "
Deerfield,MA,  279 
Dennis,MA,  424 
Dighton,MA,  222 
Douglas,MA,  284 
Dover,MA,  166 
Dracut,MA,"  2,457 "
Dudley,MA,"  1,483 "
Dunstable,MA,  103 
Duxbury,MA,  346 
East Bridgewater,MA,  367 
East Brookfield,MA,  95 
East Longmeadow,MA,  877 
Eastham,MA,  129 
Easthampton,MA,"  1,102 "
Easton,MA,  955 
Edgartown,MA,  146 
Egremont,MA,  69 
Erving,MA,  33 
Essex,MA,  101 
Everett,MA,"  13,990 "
Fairhaven,MA,  501 
Fall River,MA,"  12,582 "
Falmouth,MA,  826 
Fitchburg,MA,"  12,608 "
Florida,MA,  11 
Foxborough,MA,  705 
Framingham,MA,"  12,171 "
Franklin,MA,"  1,221 "
Freetown,MA,  190 
Gardner,MA,"  2,344 "
Georgetown,MA,  251 
Gill,MA,  52 
Gloucester,MA,"  1,386 "
Goshen,MA,  25 
Gosnold,MA,  3 
Grafton,MA,  862 
Granby,MA,  286 
Granville,MA,  42 
Great Barrington,MA,  643 
Greenfield,MA,"  1,468 "
Groton,MA,  434 
Groveland,MA,  192 
Hadley,MA,  320 
Halifax,MA,  143 
Hamilton,MA,  197 
Hampden,MA,  181 
Hancock,MA,  18 
Hanover,MA,  277 
Hanson,MA,  205 
Hardwick,MA,  70 
Harvard,MA,  382 
Harwich,MA,  379 
Hatfield,MA,  81 
Haverhill,MA,"  15,998 "
Hawley,MA,  10 
Heath,MA,  28 
Hingham,MA,  539 
Hinsdale,MA,  29 
Holbrook,MA,  823 
Holden,MA,  831 
Holland,MA,  81 
Holliston,MA,  512 
Holyoke,MA,"  19,597 "
Hopedale,MA,  264 
Hopkinton,MA,  733 
Hubbardston,MA,  125 
Hudson,MA,"  1,263 "
Hull,MA,  223 
Huntington,MA,  71 
Ipswich,MA,  408 
Kingston,MA,  275 
Lakeville,MA,  257 
Lancaster,MA,  969 
Lanesborough,MA,  83 
Lawrence,MA,"  72,902 "
Lee,MA,  304 
Leicester,MA,  811 
Lenox,MA,  223 
Leominster,MA,"  8,268 "
Leverett,MA,  75 
Lexington,MA,"  1,180 "
Leyden,MA,  22 
Lincoln,MA,  509 
Littleton,MA,  328 
Longmeadow,MA,  623 
Lowell,MA,"  25,051 "
Ludlow,MA,"  1,743 "
Lunenburg,MA,  673 
Lynn,MA,"  44,560 "
Lynnfield,MA,  401 
Malden,MA,"  6,891 "
Manchester-by-the-Sea,MA,  120 
Mansfield,MA,  844 
Marblehead,MA,  770 
Marion,MA,  225 
Marlborough,MA,"  6,631 "
Marshfield,MA,  491 
Mashpee,MA,  403 
Mattapoisett,MA,  149 
Maynard,MA,  597 
Medfield,MA,  406 
Medford,MA,"  3,705 "
Medway,MA,  412 
Melrose,MA,"  1,353 "
Mendon,MA,  181 
Merrimac,MA,  197 
Methuen,MA,"  15,550 "
Middleborough,MA,  597 
Middlefield,MA,  11 
Middleton,MA,  722 
Milford,MA,"  3,737 "
Millbury,MA,  632 
Millis,MA,  290 
Millville,MA,  86 
Milton,MA,"  1,401 "
Monroe,MA,  2 
Monson,MA,  253 
Montague,MA,  534 
Monterey,MA,  32 
Montgomery,MA,  21 
Mount Washington,MA,  1 
Nahant,MA,  102 
Nantucket,MA,"  2,312 "
Natick,MA,"  1,762 "
Needham,MA,"  1,223 "
New Ashford,MA,  2 
New Bedford,MA,"  24,525 "
New Braintree,MA,  15 
New Marlborough,MA,  31 
New Salem,MA,  24 
Newbury,MA,  156 
Newburyport,MA,  461 
Newton,MA,"  4,493 "
Norfolk,MA,  602 
North Adams,MA,  591 
North Andover,MA,"  2,430 "
North Attleborough,MA,"  1,250 "
North Brookfield,MA,  195 
North Reading,MA,  466 
Northampton,MA,"  2,697 "
Northborough,MA,  623 
Northbridge,MA,  828 
