Ciudad,Nombre
Barrington,6
Bristol,11
Central Falls,10
Coventry,9
Cranston,24
Cumberland,5
Dartmouth,1
East Greenwich,28
East Providence,29
Fairhaven,3
Fall River,25
Foster,1
Greenville,4
Groton,2
Hope,1
Jamestown,1
Johnston,13
Lincoln,11
Mansfield,1
Middletown,8
Milford,1
Mystic,1
New Bedford,3
New London,5
Newport,24
North Attleboro,1
North Dartmouth,4
North Kingstown,5
North Providence,15
North Smithfield,1
Oakland,1
Pascoag,1
Pawtucket,51
Portsmouth,4
Providence,171
Raynham,2
Riverside,19
Saunderstown,1
Scituate,1
Seekonk,1
Smithfield,8
Somerset,1
South Kingstown,3
Swansea,2
Taunton,3
Tiverton,2
Wakefield,18
Waltham,2
Wareham,2
Warren,8
Warwick,40
Waterford,2
Wellesley,1
West Warwick,12
Westerly,15
Westport,1
Woonsocket,30
