,Ciudad,Estado,2020
0,Barrington,RI,623
1,Bristol,RI,959
3,Central Falls,RI,14752
5,Coventry,RI,1229
6,Cranston,RI,15067
7,Cumberland,RI,2692
8,East Greenwich,RI,595
9,East Providence,RI,3328
11,Foster,RI,91
14,Jamestown,RI,126
15,Johnston,RI,3844
16,Lincoln,RI,1502
18,Middletown,RI,1353
21,Newport,RI,2975
22,North Kingstown,RI,1012
23,North Providence,RI,4933
24,North Smithfield,RI,534
25,Pawtucket,RI,18727
26,Portsmouth,RI,648
27,Providence,RI,83815
29,Scituate,RI,297
30,Smithfield,RI,825
31,South Kingstown,RI,1403
32,Tiverton,RI,425
33,Warren,RI,361
34,Warwick,RI,5019
36,West Warwick,RI,2674
37,Westerly,RI,1077
38,Woonsocket,RI,9086
126,Dartmouth,MA,1360
148,Fairhaven,MA,501
149,Fall River,MA,12582
168,Groton,MA,434
210,Lincoln,MA,509
220,Mansfield,MA,844
238,Milford,MA,3737
254,New Bedford,MA,24525
298,Raynham,MA,448
317,Scituate,MA,300
318,Seekonk,MA,558
326,Somerset,MA,434
345,Swansea,MA,376
346,Taunton,MA,4717
358,Wakefield,MA,1146
361,Waltham,MA,10719
363,Wareham,MA,741
364,Warren,MA,215
365,Warwick,MA,21
370,Wellesley,MA,1523
387,Westport,MA,334
405,Waterford,CT,744
406,New London,CT,8226
407,Mystic,CT,94
408,Groton,CT,1243
