Label (Grouping),"Bristol County, Rhode Island!!Total!!Estimate","Bristol County, Rhode Island!!Total!!Margin of Error","Bristol County, Rhode Island!!Percent!!Estimate","Bristol County, Rhode Island!!Percent!!Margin of Error","Bristol County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","Bristol County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Bristol County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","Bristol County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","Bristol County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","Bristol County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Bristol County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Bristol County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error","Kent County, Rhode Island!!Total!!Estimate","Kent County, Rhode Island!!Total!!Margin of Error","Kent County, Rhode Island!!Percent!!Estimate","Kent County, Rhode Island!!Percent!!Margin of Error","Kent County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","Kent County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Kent County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","Kent County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","Kent County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","Kent County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Kent County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Kent County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error","Newport County, Rhode Island!!Total!!Estimate","Newport County, Rhode Island!!Total!!Margin of Error","Newport County, Rhode Island!!Percent!!Estimate","Newport County, Rhode Island!!Percent!!Margin of Error","Newport County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","Newport County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Newport County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","Newport County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","Newport County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","Newport County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Newport County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Newport County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error","Providence County, Rhode Island!!Total!!Estimate","Providence County, Rhode Island!!Total!!Margin of Error","Providence County, Rhode Island!!Percent!!Estimate","Providence County, Rhode Island!!Percent!!Margin of Error","Providence County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","Providence County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Providence County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","Providence County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","Providence County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","Providence County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Providence County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Providence County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error","Washington County, Rhode Island!!Total!!Estimate","Washington County, Rhode Island!!Total!!Margin of Error","Washington County, Rhode Island!!Percent!!Estimate","Washington County, Rhode Island!!Percent!!Margin of Error","Washington County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","Washington County, Rhode Island!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Washington County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","Washington County, Rhode Island!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","Washington County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","Washington County, Rhode Island!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Washington County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Washington County, Rhode Island!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error"
Population 5 years and over,"48,696",±92,(X),(X),"46,902",±359,96.30%,±0.7,"1,794",±347,3.70%,±0.7,"161,198",±40,(X),(X),"156,534",±638,97.10%,±0.4,"4,664",±636,2.90%,±0.4,"81,884",±113,(X),(X),"79,825",±482,97.50%,±0.6,"2,059",±483,2.50%,±0.6,"619,826",±59,(X),(X),"543,685","±2,097",87.70%,±0.3,"76,141","±2,094",12.30%,±0.3,"124,975",±135,(X),(X),"122,387",±547,97.90%,±0.4,"2,588",±526,2.10%,±0.4
    Speak only English,"42,430",±806,87.10%,±1.6,(X),(X),(X),(X),(X),(X),(X),(X),"146,282",±947,90.70%,±0.6,(X),(X),(X),(X),(X),(X),(X),(X),"74,508",±920,91.00%,±1.1,(X),(X),(X),(X),(X),(X),(X),(X),"423,365","±4,039",68.30%,±0.7,(X),(X),(X),(X),(X),(X),(X),(X),"117,826",±785,94.30%,±0.6,(X),(X),(X),(X),(X),(X),(X),(X)
    Speak a language other than English,"6,266",±802,12.90%,±1.6,"4,472",±642,71.40%,±4.3,"1,794",±347,28.60%,±4.3,"14,916",±952,9.30%,±0.6,"10,252",±887,68.70%,±3.9,"4,664",±636,31.30%,±3.9,"7,376",±934,9.00%,±1.1,"5,317",±747,72.10%,±5.2,"2,059",±483,27.90%,±5.2,"196,461","±4,032",31.70%,±0.7,"120,320","±3,789",61.20%,±1.1,"76,141","±2,094",38.80%,±1.1,"7,149",±794,5.70%,±0.6,"4,561",±569,63.80%,±5.4,"2,588",±526,36.20%,±5.4
    SPEAK A LANGUAGE OTHER THAN ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,813,±201,1.70%,±0.4,692,±183,85.10%,±7.7,121,±69,14.90%,±7.7,"4,995",±648,3.10%,±0.4,"3,080",±458,61.70%,±6.7,"1,915",±456,38.30%,±6.7,"2,592",±506,3.20%,±0.6,"1,652",±419,63.70%,±10.4,940,±319,36.30%,±10.4,"121,110","±2,243",19.50%,±0.4,"69,694","±2,656",57.50%,±1.7,"51,416","±1,994",42.50%,±1.7,"1,940",±354,1.60%,±0.3,"1,075",±281,55.40%,±10.2,865,±254,44.60%,±10.2
            5 to 17 years old,122,±62,0.30%,±0.1,119,±62,97.50%,±6.1,3,±7,2.50%,±6.1,693,±268,0.40%,±0.2,530,±197,76.50%,±14.6,163,±137,23.50%,±14.6,294,±176,0.40%,±0.2,250,±171,85.00%,±17.9,44,±48,15.00%,±17.9,"25,889","±1,236",4.20%,±0.2,"21,099","±1,356",81.50%,±3.0,"4,790",±767,18.50%,±3.0,203,±109,0.20%,±0.1,143,±92,70.40%,±24.8,60,±59,29.60%,±24.8
            18 to 64 years old,589,±155,1.20%,±0.3,527,±145,89.50%,±6.7,62,±43,10.50%,±6.7,"3,828",±474,2.40%,±0.3,"2,342",±354,61.20%,±7.9,"1,486",±392,38.80%,±7.9,"2,037",±423,2.50%,±0.5,"1,266",±342,62.20%,±11.9,771,±294,37.80%,±11.9,"86,197","±1,492",13.90%,±0.2,"46,643","±1,992",54.10%,±2.0,"39,554","±1,818",45.90%,±2.0,"1,466",±289,1.20%,±0.2,753,±237,51.40%,±12.0,713,±217,48.60%,±12.0
            65 years old and over,102,±63,0.20%,±0.1,46,±46,45.10%,±38.0,56,±51,54.90%,±38.0,474,±193,0.30%,±0.1,208,±107,43.90%,±18.1,266,±152,56.10%,±18.1,261,±144,0.30%,±0.2,136,±111,52.10%,±29.9,125,±98,47.90%,±29.9,"9,024",±400,1.50%,±0.1,"1,952",±360,21.60%,±4.2,"7,072",±554,78.40%,±4.2,271,±132,0.20%,±0.1,179,±99,66.10%,±21.4,92,±80,33.90%,±21.4
        Other Indo-European languages,"4,774",±790,9.80%,±1.6,"3,305",±617,69.20%,±5.1,"1,469",±323,30.80%,±5.1,"6,079",±771,3.80%,±0.5,"4,565",±693,75.10%,±5.6,"1,514",±371,24.90%,±5.6,"3,745",±694,4.60%,±0.8,"3,016",±566,80.50%,±6.6,729,±300,19.50%,±6.6,"50,074","±2,962",8.10%,±0.5,"34,575","±2,216",69.00%,±1.8,"15,499","±1,289",31.00%,±1.8,"3,265",±643,2.60%,±0.5,"2,426",±496,74.30%,±7.3,839,±313,25.70%,±7.3
            5 to 17 years old,334,±185,0.70%,±0.4,328,±184,98.20%,±3.8,6,±12,1.80%,±3.8,448,±205,0.30%,±0.1,424,±208,94.60%,±9.8,24,±41,5.40%,±9.8,442,±218,0.50%,±0.3,403,±213,91.20%,±9.8,39,±40,8.80%,±9.8,"4,102",±774,0.70%,±0.1,"3,611",±714,88.00%,±5.2,491,±232,12.00%,±5.2,351,±210,0.30%,±0.2,311,±201,88.60%,±11.7,40,±38,11.40%,±11.7
