Ciudad,Numero,Estado,2020,Proporción,State Name,County Name,State FIPS Code,County Code,fips,City Code,StCntyCity FIPS Code
Barrington,6,RI,623,103,RHODE ISLAND,BRISTOL,44,C001,44001,13.0,440010013.0
Bristol,11,RI,959,87,RHODE ISLAND,BRISTOL,44,C001,44001,30.0,440010030.0
Coventry,9,RI,1229,136,RHODE ISLAND,KENT,44,C003,44003,48.0,440030048.0
Cranston,24,RI,15067,627,RHODE ISLAND,PROVIDENCE,44,C007,44007,50.0,440070050.0
Cumberland,5,RI,2692,538,RHODE ISLAND,PROVIDENCE,44,C007,44007,47.0,440070047.0
Dartmouth,1,MA,1360,1360,MASSACHUSETTS,BRISTOL,25,C005,25005,251.0,250050251.0
Fairhaven,3,MA,501,167,MASSACHUSETTS,BRISTOL,25,C005,25005,315.0,250050315.0
Foster,1,RI,91,91,RHODE ISLAND,PROVIDENCE,44,C007,44007,59.0,440070059.0
Greenville,4,RI,342,85,RHODE ISLAND,PROVIDENCE,44,C007,44007,65.0,440070065.0
Groton,2,CT,1243,621,CONNECTICUT,NEW LONDON,9,C011,09011,260.0,90110260.0
Hope,1,RI,60,60,RHODE ISLAND,PROVIDENCE,44,C007,44007,72.0,440070072.0
Jamestown,1,RI,126,126,RHODE ISLAND,NEWPORT,44,C005,44005,100.0,440050100.0
Johnston,13,RI,3844,295,RHODE ISLAND,PROVIDENCE,44,C007,44007,105.0,440070105.0
Lincoln,11,RI,1502,136,RHODE ISLAND,PROVIDENCE,44,C007,44007,112.0,440070112.0
Mansfield,1,MA,844,844,MASSACHUSETTS,BRISTOL,25,C005,25005,670.0,250050670.0
Middletown,8,RI,1353,169,RHODE ISLAND,NEWPORT,44,C005,44005,135.0,440050135.0
Milford,1,MA,3737,3737,MASSACHUSETTS,WORCESTER,25,C027,25027,780.0,250270780.0
Newport,24,RI,2975,123,RHODE ISLAND,NEWPORT,44,C005,44005,150.0,440050150.0
Oakland,1,RI,17,17,RHODE ISLAND,PROVIDENCE,44,C007,44007,160.0,440070160.0
Pascoag,1,RI,331,331,RHODE ISLAND,PROVIDENCE,44,C007,44007,170.0,440070170.0
Pawtucket,51,RI,18727,367,RHODE ISLAND,PROVIDENCE,44,C007,44007,180.0,440070180.0
Portsmouth,4,RI,648,162,RHODE ISLAND,NEWPORT,44,C005,44005,185.0,440050185.0
Providence,171,RI,83815,490,RHODE ISLAND,PROVIDENCE,44,C007,44007,190.0,440070190.0
Raynham,2,MA,448,224,MASSACHUSETTS,BRISTOL,25,C005,25005,1064.0,250051064.0
Saunderstown,1,RI,144,144,RHODE ISLAND,WASHINGTON,44,C009,44009,198.0,440090198.0
Scituate,1,RI,297,297,RHODE ISLAND,PROVIDENCE,44,C007,44007,202.0,440070202.0
Seekonk,1,MA,558,558,MASSACHUSETTS,BRISTOL,25,C005,25005,1133.0,250051133.0
Smithfield,8,RI,825,103,RHODE ISLAND,PROVIDENCE,44,C007,44007,206.0,440070206.0
Somerset,1,MA,434,434,MASSACHUSETTS,BRISTOL,25,C005,25005,1185.0,250051185.0
Swansea,2,MA,376,188,MASSACHUSETTS,BRISTOL,25,C005,25005,1268.0,250051268.0
Taunton,3,MA,4717,1572,MASSACHUSETTS,BRISTOL,25,C005,25005,1280.0,250051280.0
Tiverton,2,RI,425,212,RHODE ISLAND,NEWPORT,44,C005,44005,212.0,440050212.0
Wakefield,18,MA,1146,63,MASSACHUSETTS,MIDDLESEX,25,C017,25017,1335.0,250171335.0
Waltham,2,MA,10719,5359,MASSACHUSETTS,MIDDLESEX,25,C017,25017,1340.0,250171340.0
Wareham,2,MA,741,370,MASSACHUSETTS,PLYMOUTH,25,C023,25023,1360.0,250231360.0
Warren,8,RI,361,45,RHODE ISLAND,BRISTOL,44,C001,44001,225.0,440010225.0
Warwick,40,RI,5019,125,RHODE ISLAND,KENT,44,C003,44003,230.0,440030230.0
Warwick,40,MA,21,0,MASSACHUSETTS,FRANKLIN,25,C011,25011,1372.0,250111372.0
Waterford,2,CT,744,372,CONNECTICUT,NEW LONDON,9,C011,09011,811.0,90110811.0
Wellesley,1,MA,1523,1523,MASSACHUSETTS,NORFOLK,25,C021,25021,1382.0,250211382.0
Westerly,15,RI,1077,71,RHODE ISLAND,WASHINGTON,44,C009,44009,240.0,440090240.0
Westport,1,MA,334,334,MASSACHUSETTS,BRISTOL,25,C005,25005,1441.0,250051441.0
Woonsocket,30,RI,9086,302,RHODE ISLAND,PROVIDENCE,44,C007,44007,260.0,440070260.0
