,Ciudad,Numero,Estado,2020,Proporción
0,Barrington,6,RI,623,103
1,Bristol,11,RI,959,87
2,Central Falls,10,RI,14752,1475
3,Coventry,9,RI,1229,136
4,Cranston,24,RI,15067,627
5,Cumberland,5,RI,2692,538
6,Dartmouth,1,MA,1360,1360
7,East Greenwich,28,RI,595,21
8,East Providence,29,RI,3328,114
9,Fairhaven,3,MA,501,167
10,Fall River,25,MA,12582,503
11,Foster,1,RI,91,91
12,Greenville,4,RI,342,85
13,Groton,2,CT,1243,621
14,Hope,1,RI,60,60
15,Jamestown,1,RI,126,126
16,Johnston,13,RI,3844,295
17,Lincoln,11,RI,1502,136
18,Mansfield,1,MA,844,844
19,Middletown,8,RI,1353,169
20,Milford,1,MA,3737,3737
21,Mystic,1,CT,94,94
22,New Bedford,3,MA,24525,8175
23,New London,5,CT,8226,1645
24,Newport,24,RI,2975,123
25,North Attleboro,1,MA,1083,1083
26,North Dartmouth,4,MA,1085,271
27,North Kingstown,5,RI,1012,202
28,North Providence,15,RI,4933,328
29,North Smithfield,1,RI,534,534
30,Oakland,1,RI,17,17
31,Pascoag,1,RI,331,331
32,Pawtucket,51,RI,18727,367
33,Portsmouth,4,RI,648,162
34,Providence,171,RI,83815,490
35,Raynham,2,MA,448,224
36,Saunderstown,1,RI,144,144
37,Scituate,1,RI,297,297
38,Seekonk,1,MA,558,558
39,Smithfield,8,RI,825,103
40,Somerset,1,MA,434,434
41,South Kingstown,3,RI,1403,467
42,Swansea,2,MA,376,188
43,Taunton,3,MA,4717,1572
44,Tiverton,2,RI,425,212
45,Wakefield,18,MA,1146,63
46,Waltham,2,MA,10719,5359
47,Wareham,2,MA,741,370
48,Warren,8,RI,361,45
49,Warwick,40,RI,5019,125
50,Warwick,40,MA,21,0
51,Waterford,2,CT,744,372
52,Wellesley,1,MA,1523,1523
53,West Warwick,12,RI,2674,222
54,Westerly,15,RI,1077,71
55,Westport,1,MA,334,334
56,Woonsocket,30,RI,9086,302
