Site Name,Site Category,Site Subcategory,County,State,Provider #,Address,City,ZIP,Telephone #,# Direct Care Prsnl. FTEs,Total FTEs,# of Physician FTEs,# of Physician Assistant FTEs,# of Nurse Practitioner FTEs,# of Other Prsnl. FTEs,# of Beds,# of Certified Beds,# of SNF Beds Medicaid,# of SNF Beds,# of SNF Beds Medicare,# of Operating Rooms,# of IC/MR Beds,Is Federally Funded Health Center Site,Is Hospital-Based Site,Type,Is Rural Health Clinic Site,Approved RHC Provider #,State County FIPS Code,HHS Region,U.S. Senator Name (1),U.S. Senator Name (2),U.S. Congressional Representative Name,In U.S./Mex. Border 100 KM Area,In U.S./Mex. Border County,Rural Status,Longitude,Latitude
CRA-MAR MEADOWS,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415066,575 Seven Mile Rd,Hope,02831-1850,401-828-5010,,,,,,,41.00,41.00,0.00,41.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.55055541,41.74537994
"CRESTWOOD NURSING & REHABILITATION CENTER, INC",Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Bristol County,RI,415070,568 Child St,Warren,02885-1734,401-245-1574,,,,,,,76.00,76.00,0.00,76.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44001,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.2552245,41.73195787
CENTRAL HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411820,239 Cranston St,Providence,02907-2406,401-444-0580,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.42733037,41.81381243
CHAFEE HEALTH CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411837,1 Warren Way,Providence,02905-5000,401-444-0530,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.40236503,41.80294588
EASTGATE NURSING & REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415083,198 Waterman Ave,East Providence,02914-3523,401-431-2087,,,,,,,68.00,68.00,0.00,68.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.3713302,41.82210058
OCEAN STATE ENDOSCOPY,Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001005,148 W River St STE 3,Providence,02904-2615,401-421-6306,,,,,,,,,,,,3.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41414488,41.84344074
ELMWOOD NURSING AND REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415072,225 Elmwood Ave,Providence,02907-1461,401-272-0600,,,,,,,70.00,70.00,0.00,70.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.42493012,41.80671581
ORTHO RI SURGERY CENTER,Ambulatory Surgical Center,Ambulatory Surgical Center,Kent County,RI,41C0001020,300 Crossings Blvd,Warwick,02886-2878,401-777-7000,,,,,,,,,,,,10.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.46816113,41.71334606
EVERGREEN HOUSE HEALTH CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415056,1 Evergreen Dr,East Providence,02914-1506,401-438-3250,,,,,,,160.00,160.00,0.00,160.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.34480273,41.80706643
AMEDISYS HOME HEALTH CARE,Home Health Agency,Home Health Agency,Kent County,RI,417036,300 Centerville Rd STE 202,Warwick,02886-0200,401-273-2280,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47120996,41.69413
FRIENDLY HOME INC THE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415044,303 Rhodes Ave,Woonsocket,02895-2821,401-769-7220,,,,,,,126.00,126.00,0.00,126.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.53375413,42.00560882
SARGENT REHAB CENTER,Outpatient Physical Therapy/Speech Pathology                 ,Opt or Speech Pathology,Kent County,RI,416500,800 Quaker Ln,East Greenwich,02818-1667,401-886-6600,,,,,,,,,,,,,,Not Applicable,Not Applicable,Rehabilitation Agency,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.49981195,41.67421464
PROSPECT BLACKSTONE VALLEY SURGICARE,Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001000,1526 Atwood Ave STE 300,Johnston,02919-3289,401-459-3800,,,,,,,,,,,,5.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.50021981,41.82823459
PROVIDENCE ACCESS CARE,Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001019,100 Highland Ave STE 100,Providence,02906-2740,401-277-9729,,,,,,,,,,,,2.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.4009728,41.84971129
GOLDEN CREST NURSING CENTRE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415029,100 Smithfield Rd,North Providence,02904-5382,401-353-1710,,,,,,,152.00,152.00,0.00,152.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.44860674,41.8559206
GRACE BARKER NURSING CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Bristol County,RI,415014,54 Barker Ave,Warren,02885-2025,401-245-9100,,,,,,,86.00,86.00,0.00,86.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44001,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.26424778,41.72783573
GRAND ISLANDER CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Newport County,RI,415034,333 Green End Ave,Middletown,02842-5620,401-849-7100,,,,,,,146.00,146.00,0.00,146.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.28661229,41.50650031
ASSISTED DAILY LIVING INC,Home Health Agency,Home Health Agency,Kent County,RI,417035,2809 Post Rd,Warwick,02886-3114,401-738-5470,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.45125911,41.70804815
GRANDVIEW CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415020,100 Chambers St,Cumberland,02864-7724,401-724-7500,,,,,,,72.00,72.00,0.00,72.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39670733,41.90696601
GREENWOOD CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415008,1139 Main Ave,Warwick,02886-1940,401-739-6600,,,,,,,130.00,130.00,0.00,130.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.46100123,41.71618191
COMPREHENSIVE COMMUNITY ACTION,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411859,30 Howard Ave,Cranston,02920-3031,401-467-9610,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.46417176,41.74397752
HARRIS HEALTH CARE CENTER NORTH,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415108,60 Eben Brown Ln,Central Falls,02863-1409,401-722-6000,,,,,,,32.00,32.00,0.00,32.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39007105,41.89601778
HARRIS HEALTH CENTER LLC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415098,833 Broadway,East Providence,02914-3722,401-434-7404,,,,,,,31.00,31.00,0.00,31.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.36871932,41.81881836
HATTIE IDE CHAFFEE HOME,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415002,200 Wampanoag Trl,East Providence,02914,401-434-1520,,,,,,,60.00,60.00,0.00,60.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.35422749,41.797179
BAYADA HOME HEALTH CARE INC,Home Health Agency,Home Health Agency,Providence County,RI,417057,260 W Exchange St,Providence,02903-1000,401-273-1112,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.42280338,41.82539891
HEBERT NURSING HOME,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415049,180 Log Rd,Smithfield,02917-1518,401-231-7016,,,,,,,133.00,133.00,0.00,133.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.55146208,41.91049245
HERITAGE HILLS NURSING & REHABILITATION CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415039,80 Douglas Pike,Smithfield,02917-2339,401-231-2700,,,,,,,100.00,100.00,0.00,100.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.47334802,41.87559397
DORIC CENTER,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411840,311 Doric Ave,Cranston,02910-2903,401-467-9610,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.42699735,41.77634424
HOLIDAY RETIREMENT HOME INC,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415075,30 Sayles Hill Rd,Manville,02838-1227,401-765-1440,,,,,,,170.00,170.00,0.00,170.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.48151526,41.96636772
ST JAMES SURGERY CENTER,Ambulatory Surgical Center,Ambulatory Surgical Center,Kent County,RI,41C0001002,444 Quaker Ln,Warwick,02886-0185,401-589-2716,,,,,,,,,,,,2.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.50046172,41.68324434
EAST BAY COMM ACTION NEWPORT,Federally Qualified Health Center,Federally Qualified Health Center,Newport County,RI,411813,19 Broadway,Newport,02840-2937,401-847-7821,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.31244532,41.4911346
EAST BAY COMMUNITY ACTION PRGRM DBA FLORENCE GRAYE,Federally Qualified Health Center,Federally Qualified Health Center,Newport County,RI,411834,1 York St,Newport,02840-1141,401-848-2160,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.31212505,41.51381121
