Nombre,Grado,Grado Dos,Especialidad,Hospital,Dirección,Número de,Ciudad,Estado,Código Postal,Ubicación,Nombre y Experto,Experto en
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,"Brown Urology, Inc.-Collyer St Ste 104",195 Collyer St,Ste 104,Providence,                  RI,02904,"Brown Urology, Inc.-Collyer St Ste 104,
                  195 Collyer St,
                  Ste 104,
                  Providence,
                  RI,
                  02904","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,"Brown Urology, Inc.-Collyer St Ste 201",195 Collyer St,Ste 201,Providence,                  RI,02904,"Brown Urology, Inc.-Collyer St Ste 201,
                  195 Collyer St,
                  Ste 201,
                  Providence,
                  RI,
                  02904","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,"Brown Urology, Inc.-Dudley St",2 Dudley St,Ste 175,Providence,                  RI,02905,"Brown Urology, Inc.-Dudley St,
                  2 Dudley St,
                  Ste 175,
                  Providence,
                  RI,
                  02905","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,"Brown Urology, Inc.-E. Prov",450 Veterans Memorial Pkwy ,Bldg 14,East Providence,                  RI,02914,"Brown Urology, Inc.-E. Prov,
                  450 Veterans Memorial Pkwy ,
                  Bldg 14,
                  East Providence,
                  RI,
                  02914","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,"Brown Urology, Inc.-N. Main St",827 N Main St,Ste 4,Providence,                  RI,02904,"Brown Urology, Inc.-N. Main St,
                  827 N Main St,
                  Ste 4,
                  Providence,
                  RI,
                  02904","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,Rhode Island Hospital-MOC 200,2 Dudley St,Moc 200,Providence,                  RI,02905,"Rhode Island Hospital-MOC 200,
                  2 Dudley St,
                  Moc 200,
                  Providence,
                  RI,
                  02905","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,RIH Pediatrics - 593 Eddy St Potter Basement,593 Eddy St,Bsmt Potter,Providence,                  RI,02903,"RIH Pediatrics - 593 Eddy St Potter Basement,
                  593 Eddy St,
                  Bsmt Potter,
                  Providence,
                  RI,
                  02903","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Liza M. Aguiar,M.D.,,Cirugía Urológica Pediátrica,RIH Pediatrics - Prairie Ave,335 Prairie Ave,Ste 1A,Providence,                  RI,02905,"RIH Pediatrics - Prairie Ave,
                  335 Prairie Ave,
                  Ste 1A,
                  Providence,
                  RI,
                  02905","Liza M. Aguiar, M.D. - Cirugía Urológica Pediátrica",Experto en: Especialista
Elizabeth  Allard,M.D.,,Medicina Familiar,Northeast Medical Group,196 Waterford Pkwy S,Ste 103,Waterford,                  CT,06385,"Northeast Medical Group,
                  196 Waterford Pkwy S,
                  Ste 103,
                  Waterford,
                  CT,
                  06385","Elizabeth  Allard, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Elizabeth  Allard,M.D.,,Medicina Familiar,Women & Infants Hospital,101 Dudley St,,Providence,                  RI,02905,"Women & Infants Hospital,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Elizabeth  Allard, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
