,Ciudad,Estado,2020
0,Barrington,RI,623
1,Bristol,RI,959
3,Central Falls,RI,14752
5,Coventry,RI,1229
6,Cranston,RI,15067
7,Cumberland,RI,2692
8,East Greenwich,RI,595
9,East Providence,RI,3328
11,Foster,RI,91
14,Jamestown,RI,126
15,Johnston,RI,3844
16,Lincoln,RI,1502
18,Middletown,RI,1353
21,Newport,RI,2975
22,North Kingstown,RI,1012
23,North Providence,RI,4933
24,North Smithfield,RI,534
25,Pawtucket,RI,18727
26,Portsmouth,RI,648
27,Providence,RI,83815
29,Scituate,RI,297
30,Smithfield,RI,825
31,South Kingstown,RI,1403
32,Tiverton,RI,425
33,Warren,RI,361
34,Warwick,RI,5019
36,West Warwick,RI,2674
37,Westerly,RI,1077
38,Woonsocket,RI,9086
39,Greenville,RI,342
40,Hope,RI,60
41,North Attleboro,MA,1083
42,North Dartmouth,MA,1085
43,Oakland,RI,17
44,Pascoag,RI,331
45,Saunderstown,RI,144
133,Dartmouth,MA,1360
155,Fairhaven,MA,501
156,Fall River,MA,12582
225,Mansfield,MA,844
243,Milford,MA,3737
259,New Bedford,MA,24525
303,Raynham,MA,448
322,Seekonk,MA,558
330,Somerset,MA,434
349,Swansea,MA,376
350,Taunton,MA,4717
362,Wakefield,MA,1146
365,Waltham,MA,10719
367,Wareham,MA,741
368,Warwick,MA,21
373,Wellesley,MA,1523
390,Westport,MA,334
408,Waterford,CT,744
409,New London,CT,8226
410,Mystic,CT,94
411,Groton,CT,1243
